id,role_id,skill_id,category,weight_raw,weight_normalized,expected_level,is_critical,threshold,penalty
1,11,5,Language,1,0.078412,0.9,True,0.54,0.05
2,11,30,Language,0.8,0.06273,0.9,True,0.54,0.05
3,11,35,Language,0.4941,0.038744,0.65,False,0.0,0.0
4,11,16,Language,0.4471,0.035058,0.65,False,0.0,0.0
5,11,273,software,0.6471,0.050741,0.8,False,0.0,0.0
6,11,330,software,0.8235,0.064573,0.9,True,0.54,0.05
7,11,68,software,0.4824,0.037826,0.65,False,0.0,0.0
8,11,135,software,0.6824,0.053509,0.8,False,0.0,0.0
9,11,96,software,0.2118,0.016608,0.5,False,0.0,0.0
10,11,163,framework,0.9294,0.072876,0.9,True,0.54,0.05
11,11,166,framework,0.8471,0.066423,0.9,True,0.54,0.05
12,11,191,framework,0.7647,0.059962,0.9,False,0.0,0.0
13,11,171,framework,0.5647,0.044279,0.8,False,0.0,0.0
14,11,231,framework,0.2588,0.020293,0.5,False,0.0,0.0
15,11,363,knowledge,0.6118,0.047973,0.8,False,0.0,0.0
16,11,390,knowledge,0.8706,0.068266,0.9,True,0.54,0.05
17,11,270,knowledge,0.7294,0.057194,0.9,False,0.0,0.0
18,11,405,knowledge,0.5294,0.041511,0.8,False,0.0,0.0
19,11,422,knowledge,0.4588,0.035976,0.65,False,0.0,0.0
20,11,286,knowledge,0.6,0.047047,0.8,False,0.0,0.0
21,61,25,Language,0.6094,0.100515,0.8,False,0.0,0.0
22,61,30,Language,0.3438,0.056706,0.65,False,0.0,0.0
23,61,273,software,0.2344,0.038662,0.5,False,0.0,0.0
24,61,116,software,0.1719,0.028353,0.5,False,0.0,0.0
25,61,192,framework,0.25,0.041235,0.5,False,0.0,0.0
26,61,165,framework,0.2188,0.036089,0.5,False,0.0,0.0
27,61,205,framework,0.1563,0.02578,0.5,False,0.0,0.0
28,61,238,framework,0.1406,0.023191,0.35,False,0.0,0.0
29,61,319,knowledge,0.9063,0.149485,0.9,True,0.54,0.05
30,61,328,knowledge,0.7969,0.131441,0.9,True,0.54,0.05
31,61,395,knowledge,0.7656,0.126278,0.9,True,0.54,0.05
32,61,277,knowledge,0.6875,0.113396,0.8,True,0.48,0.05
33,61,323,knowledge,0.5,0.08247,0.8,False,0.0,0.0
34,61,339,knowledge,0.2813,0.046398,0.5,False,0.0,0.0
35,54,25,Language,0.96,0.095745,0.9,True,0.54,0.05
36,54,30,Language,0.56,0.055851,0.8,False,0.0,0.0
37,54,7,Language,0.24,0.023936,0.5,False,0.0,0.0
38,54,330,software,0.7733,0.077125,0.9,False,0.0,0.0
39,54,68,software,0.5067,0.050536,0.8,False,0.0,0.0
40,54,94,software,0.4267,0.042557,0.65,False,0.0,0.0
41,54,225,framework,0.8667,0.08644,0.9,True,0.54,0.05
42,54,250,framework,0.64,0.06383,0.8,False,0.0,0.0
43,54,199,framework,0.3733,0.037231,0.65,False,0.0,0.0
44,54,238,framework,0.4667,0.046546,0.65,False,0.0,0.0
45,54,306,knowledge,0.9333,0.093082,0.9,True,0.54,0.05
46,54,329,knowledge,0.8,0.079788,0.9,True,0.54,0.05
47,54,369,knowledge,0.6933,0.069146,0.8,False,0.0,0.0
48,54,359,knowledge,0.7333,0.073135,0.9,False,0.0,0.0
49,54,286,knowledge,0.6,0.059841,0.8,False,0.0,0.0
50,54,290,knowledge,0.4533,0.04521,0.65,False,0.0,0.0
51,19,15,Language,0.6667,0.091956,0.8,True,0.48,0.05
52,19,30,Language,0.625,0.086205,0.8,True,0.48,0.05
53,19,25,Language,0.4722,0.065129,0.65,False,0.0,0.0
54,19,35,Language,0.2778,0.038316,0.5,False,0.0,0.0
55,19,68,software,0.5278,0.072798,0.8,False,0.0,0.0
56,19,117,software,0.5,0.068964,0.8,False,0.0,0.0
57,19,36,software,0.4306,0.059391,0.65,False,0.0,0.0
58,19,96,software,0.3472,0.047888,0.65,False,0.0,0.0
59,19,242,framework,0.5833,0.080453,0.8,True,0.48,0.05
60,19,215,framework,0.3889,0.05364,0.65,False,0.0,0.0
61,19,163,framework,0.25,0.034482,0.5,False,0.0,0.0
62,19,390,knowledge,0.9028,0.124521,0.9,True,0.54,0.05
63,19,363,knowledge,0.5556,0.076632,0.8,False,0.0,0.0
64,19,270,knowledge,0.4167,0.057474,0.65,False,0.0,0.0
65,19,375,knowledge,0.3056,0.042151,0.65,False,0.0,0.0
66,89,13,Language,0.8871,0.114346,0.9,True,0.54,0.05
67,89,16,Language,0.7742,0.099794,0.9,False,0.0,0.0
68,89,141,software,0.7258,0.093555,0.9,False,0.0,0.0
69,89,45,software,0.6452,0.083166,0.8,False,0.0,0.0
70,89,76,software,0.5161,0.066525,0.8,False,0.0,0.0
71,89,231,framework,0.4032,0.051972,0.65,False,0.0,0.0
72,89,171,framework,0.3548,0.045733,0.65,False,0.0,0.0
73,89,433,knowledge,0.9355,0.120585,0.9,True,0.54,0.05
74,89,432,knowledge,0.8387,0.108108,0.9,True,0.54,0.05
75,89,344,knowledge,0.6129,0.079002,0.8,False,0.0,0.0
76,89,322,knowledge,0.5806,0.074839,0.8,False,0.0,0.0
77,89,270,knowledge,0.4839,0.062374,0.65,False,0.0,0.0
78,8,35,Language,0.9722,0.107032,0.9,True,0.54,0.05
79,8,16,Language,0.9028,0.099391,0.9,True,0.54,0.05
80,8,13,Language,0.8611,0.0948,0.9,True,0.54,0.05
81,8,330,software,0.7639,0.084099,0.9,False,0.0,0.0
82,8,68,software,0.3889,0.042815,0.65,False,0.0,0.0
83,8,171,framework,1,0.110092,0.9,True,0.54,0.05
84,8,235,framework,0.8056,0.08869,0.9,False,0.0,0.0
85,8,244,framework,0.4444,0.048925,0.65,False,0.0,0.0
86,8,179,framework,0.4167,0.045875,0.65,False,0.0,0.0
87,8,270,knowledge,0.6944,0.076448,0.8,False,0.0,0.0
