id,skill,type,frequenza
1,Assembly,Language,1
2,Bash/PowerShell,Language,3
3,Bash/Shell,Language,21
4,C,Language,3
5,C#,Language,4
6,C#/.NET,Language,1
7,C++,Language,10
8,C/C++,Language,1
9,CSS/Sass,Language,3
10,DAX,Language,1
11,English,Language,1
12,Go,Language,8
13,HTML/CSS,Language,6
14,Italian,Language,1
15,Java,Language,21
16,JavaScript,Language,11
17,JavaScript/TypeScript,Language,2
18,Kotlin,Language,1
19,MATLAB,Language,1
20,Node.js,Language,1
21,Objective-C,Language,1
22,PHP,Language,2
23,PL/SQL,Language,2
24,PowerShell,Language,11
25,Python,Language,66
26,R,Language,5
27,Ruby,Language,1
28,Rust,Language,2
29,SAS,Language,1
30,SQL,Language,41
31,SQL Server,Language,2
32,Scala,Language,2
33,Swift,Language,1
34,T-SQL,Language,1
35,TypeScript,Language,9
36,AWS,software,28
37,Active Directory & Group Policy,software,2
38,Adobe Creative Suite,software,1
39,Android Studio,software,1
40,Ansible,software,11
41,Ansible/Terraform,software,1
42,Apache Airflow,software,1
43,Apache Kafka,software,1
44,ArchiMate,software,1
45,Automated Testing Tools (A11y),software,1
46,Azure,software,22
47,BigQuery,software,1
48,Bloomberg Terminal,software,1
49,Brocade/Cisco SAN Switches,software,1
50,Burp Suite,software,2
51,CI/CD (Fastlane/Jenkins),software,1
52,CI/CD (Jenkins/GitLab),software,1
53,CMake,software,1
54,Cellebrite,software,1
55,Check Point,software,2
56,Cisco,software,1
57,Cisco ASA/Firepower,software,1
58,Cisco DNA Center,software,1
59,Cisco IOS/NX-OS,software,1
60,Cloud Computing (Azure/AWS/GCP),software,1
61,Collibra,software,1
62,Commvault,software,1
63,Confluence,software,2
64,CrowdStrike,software,2
65,CyberArk,software,1
66,Databricks,software,4
67,Dell EMC,software,1
68,Docker,software,35
69,Docker/Kubernetes,software,6
70,EDR/XDR,software,3
71,Elementor/Divi,software,1
72,EnCase,software,1
73,Excel,software,7
74,F5 Load Balancers,software,1
75,FTK,software,1
76,Figma,software,7
77,Firebase,software,2
78,Fortinet FortiGate,software,2
79,Fortinet/Palo Alto,software,1
80,Frontitude,software,1
81,GCP,software,4
82,GRC Software,software,1
83,Ghidra,software,1
84,Git,software,34
85,GitLab CI,software,1
86,HSM,software,1
87,Hadoop,software,1
88,HashiCorp Vault,software,1
89,IDA Pro,software,1
90,Informatica Axon,software,1
91,Informatica/Talend,software,1
92,Jenkins,software,3
93,Jira,software,9
94,Jupyter,software,1
95,Kali Linux,software,1
96,Kubernetes,software,22
97,Linux,software,2
98,MATLAB/Simulink,software,1
99,MLOps (MLflow/DVC),software,1
100,Magnet AXIOM,software,1
101,Maven/Gradle,software,1
102,Metasploit,software,1
