id,skill,type
1,Microservices,knowledge
2,REST API,knowledge
3,Agile/Scrum,knowledge
4,SOLID Principles,knowledge
5,Unit Testing/TDD,knowledge
6,Cloud Computing,knowledge
7,EU AI Act,knowledge
8,GDPR,knowledge
9,Risk Assessment,knowledge
10,Bias Mitigation,knowledge
11,Explainable AI (XAI),knowledge
12,ISO/IEC 42001,knowledge
13,Deep Learning,knowledge
14,Generative AI,knowledge
15,Natural Language Processing (NLP),knowledge
16,Mathematics & Statistics,knowledge
17,Cloud Computing (AWS/Azure/GCP),knowledge
18,Computer Vision,knowledge
19,RESTful APIs,knowledge
20,Microservices,knowledge
21,Agile / Scrum,knowledge
22,OAuth2 / JWT,knowledge
23,WCAG 2.1/2.2,knowledge
24,WAI-ARIA,knowledge
25,Inclusive Design,knowledge
26,European Accessibility Act (EAA) Compliance,knowledge
27,Agile/Scrum,knowledge
28,Agile (Scrum),knowledge
29,REST API,knowledge
30,Unit Testing (Jasmine/Karma/Cypress),knowledge
31,Microservices,knowledge
32,Cloud Computing (AWS/Azure/GCP),knowledge
33,OWASP Top 10,knowledge
34,SAST/DAST/SCA,knowledge
35,Cloud Security (AWS/Azure),knowledge
36,DevSecOps,knowledge
37,ETL/ELT,knowledge
38,Data Warehousing,knowledge
39,Azure,knowledge
40,Data Modeling,knowledge
41,Agile/Scrum,knowledge
42,Cloud Computing,knowledge
43,REST API,knowledge
44,Microservices,knowledge
45,Cloud Computing (AWS/Azure),knowledge
46,Agile/Scrum,knowledge
47,Unit Testing (JUnit/NUnit),knowledge
48,Cloud Computing,knowledge
49,Data Modeling,knowledge
50,Agile/Scrum,knowledge
51,Data Governance,knowledge
52,Microservices,knowledge
53,Agile,knowledge
54,BPMN,knowledge
55,SDLC,knowledge
56,Scrum,knowledge
57,Cloud Computing (Azure/AWS),knowledge
58,UML,knowledge
59,Linux,knowledge
60,OOP (Object-Oriented Programming),knowledge
61,Multithreading & Concurrency,knowledge
62,Agile / Scrum,knowledge
63,Embedded Systems,knowledge
64,Design Patterns,knowledge
65,ISO 27001,knowledge
66,Risk Management,knowledge
67,GDPR,knowledge
68,CISSP / CISM,knowledge
69,Cloud Security (Azure/AWS),knowledge
70,NIS2 / DORA,knowledge
71,Microservices,knowledge
72,Security,knowledge
73,CI/CD,knowledge
74,Agile,knowledge
75,FinOps,knowledge
76,CI/CD Pipelines,knowledge
77,Infrastructure as Code (IaC),knowledge
78,Microservices,knowledge
79,Agile (Scrum/Kanban),knowledge
80,Cloud Security,knowledge
81,"Networking (VPC, DNS, BGP)",knowledge
82,Cloud Computing,knowledge
83,CI/CD,knowledge
84,Security,knowledge
85,Microservices,knowledge
86,Agile,knowledge
87,English Proficiency,knowledge
88,IAM (Identity and Access Management),knowledge
89,GDPR Compliance,knowledge
90,DevSecOps,knowledge
91,Identity and Access Management (IAM),knowledge
92,DevSecOps,knowledge
93,ISO 27001,knowledge
94,CI/CD Pipelines,knowledge
95,Deep Learning,knowledge
96,Object Detection & Segmentation,knowledge
97,Cloud Computing (AWS/Azure/GCP),knowledge
98,MLOps,knowledge
99,Mathematics & Linear Algebra,knowledge
100,Agile,knowledge
101,English (Professional Proficiency),knowledge
102,PKI (Public Key Infrastructure),knowledge
103,Blockchain & Smart Contracts,knowledge
104,Post-Quantum Cryptography (PQC),knowledge
105,Zero-Knowledge Proofs (ZKP),knowledge
106,Cloud Security (AWS/Azure),knowledge
107,ISO 27001 / NIST Standards,knowledge
108,Network Security,knowledge
109,Incident Response,knowledge
110,Cloud Security,knowledge
111,Vulnerability Management,knowledge
112,GDPR,knowledge
113,Data Visualization,knowledge
114,Statistics,knowledge
115,ETL,knowledge
116,Agile,knowledge
117,Data Governance,knowledge
118,Data Modeling,knowledge
119,ETL/ELT Processes,knowledge
120,Data Governance & GDPR,knowledge
121,Cloud Computing,knowledge
122,NoSQL,knowledge
123,Hardware Troubleshooting,knowledge
124,"Networking (TCP/IP, DNS)",knowledge
125,Fiber and Copper Cabling,knowledge
126,Linux/Unix OS,knowledge
127,HVAC and Electrical Systems,knowledge
128,Physical Security Protocols,knowledge
129,ITIL Framework,knowledge
130,ETL/ELT,knowledge
131,Cloud Computing,knowledge
132,Data Modeling,knowledge
133,Agile,knowledge
134,CI/CD,knowledge
135,GDPR (EU Regulation 2016/679),knowledge
136,English (Professional Proficiency),knowledge
137,DPIA (Data Protection Impact Assessment),knowledge
