id,skill,type
1,C#,language
2,SQL,language
3,TypeScript,language
4,JavaScript,language
5,Python,language
6,SQL,language
7,Python,language
8,SQL,language
9,C++,language
10,Java,language
11,SQL,language
12,Python,language
13,TypeScript,language
14,HTML/CSS,language
15,JavaScript,language
16,TypeScript,language
17,JavaScript (ES6+),language
18,HTML/CSS,language
19,Python,language
20,Java,language
21,SQL,language
22,DAX,language
23,Python,language
24,Java,language
25,SQL,language
26,C#/.NET,language
27,Node.js,language
28,SQL,language
29,Python,language
30,Java,language
31,Scala,language
32,SQL,language
33,Python,language
34,C++,language
35,Python,language
36,SQL,language
37,Python,language
38,SQL,language
39,Python,language
40,Java,language
41,Python,language
42,Bash/Shell Scripting,language
43,Go,language
44,Python,language
45,Bash,language
46,Java,language
47,SQL,language
48,Python,language
49,Bash/Shell Scripting,language
50,Python,language
51,Bash/Shell Scripting,language
52,PowerShell,language
53,Python,language
54,C++,language
55,Python,language
56,C++,language
57,C,language
58,Rust,language
59,Go,language
60,Python,language
61,PowerShell,language
62,Bash,language
63,SQL,language
64,Python,language
65,R,language
66,SQL,language
67,Python,language
68,Scala,language
69,Bash/Shell Scripting,language
70,Python,language
71,SQL,language
72,Python,language
73,Java,language
74,SQL,language
75,Python,language
76,Python,language
77,SQL,language
78,R,language
79,SQL,language
80,Python,language
81,SQL,language
82,Python,language
83,SQL,language
84,Python,language
85,PL/SQL,language
86,SQL,language
87,PL/SQL,language
88,T-SQL,language
89,Python,language
90,Java,language
91,Python,language
92,C++,language
93,SQL,language
94,TypeScript,language
95,JavaScript,language
96,CSS/Sass,language
97,Python,language
98,Bash/Shell,language
99,Go,language
100,Python,language
101,Bash/PowerShell,language
102,C,language
103,C++,language
104,Python,language
105,SQL,language
106,Java,language
107,Python,language
108,C,language
109,C++,language
110,Python,language
111,JavaScript,language
112,TypeScript,language
113,CSS/HTML5,language
114,JavaScript,language
115,TypeScript,language
116,SQL,language
117,Java,language
118,C#,language
119,SQL,language
120,Python,language
121,C#,language
122,C++,language
123,Go,language
124,Python,language
125,PowerShell,language
126,Python,language
127,Java,language
128,SQL,language
129,Java,language
130,Python,language
131,PowerShell,language
132,Python,language
133,SQL,language
134,Python,language
135,Bash,language
136,Go,language
137,Python,language
138,PowerShell,language
139,Bash,language
140,Java,language
141,SQL,language
142,Python,language
143,SQL,language
144,Bash/Shell,language
145,Python,language
146,SQL,language
147,Python,language
148,C/C++,language
149,Assembly (x86/64),language
150,Kotlin,language
151,Java,language
152,Swift,language
153,Objective-C,language
154,Python,language
155,SQL,language
156,Python,language
157,Bash/Shell,language
158,Python,language
159,Bash/Shell Scripting,language
160,Python,language
161,Bash/Shell,language
162,PHP,language
163,MySQL / SQL,language
164,JavaScript,language
165,Python,language
166,Bash,language
167,PowerShell,language
168,Python,language
169,Go,language
170,Bash,language
171,Python,language
172,SQL,language
173,R,language
174,SAS,language
175,Python,language
176,SQL,language
177,Java,language
178,JavaScript/TypeScript,language
179,SQL,language
180,Python,language
181,SQL,language
182,Python,language
183,SQL,language
184,C++,language
185,MATLAB,language
186,R,language
187,JavaScript,language
188,TypeScript,language
189,CSS/SCSS,language
190,JavaScript,language
191,TypeScript,language
192,CSS/SCSS,language
193,Ruby,language
194,SQL,language
195,JavaScript,language
196,Rust,language
197,C++,language
198,Go,language
199,Java,language
200,Python,language
201,JavaScript/TypeScript,language
202,Python,language
203,PowerShell / Bash,language
204,Python,language
205,Bash / PowerShell,language
206,Java,language
207,HTML/CSS,language
208,Python,language
209,Go (Golang),language
210,Bash/Shell,language
211,Java,language
212,Java,language
213,C#,language
214,Python,language
215,TypeScript,language
216,Java,language
217,SQL,language
218,Python,language
219,R,language
220,Python,language
221,SQL,language
222,Python,language
223,Shell Scripting (Bash),language
224,PowerShell,language
225,Bash,language
226,Python,language
227,PowerShell,language
228,SQL Server,language
229,PowerShell,language
230,SQL Server,language
231,Python,language
232,Bash/Shell Scripting,language
233,SQL,language
234,Python,language
235,Java,language
236,English,language
237,Italian,language
238,HTML/CSS,language
239,Python,language
240,PowerShell,language
241,Bash,language
242,Python,language
243,PowerShell,language
244,Bash,language
245,PHP,language
246,HTML5/CSS3,language
247,JavaScript,language
248,SQL/MySQL,language
