role_id,skill_id,skill_name,category,threshold,penalty
11,5,C#,Language,0.54,0.05
11,163,.NET Core,framework,0.54,0.05
11,390,REST APIs,knowledge,0.54,0.05
11,166,ASP.NET Web API,framework,0.54,0.05
11,330,Git,software,0.54,0.05
11,30,SQL,Language,0.54,0.05
61,319,EU AI Act,knowledge,0.54,0.05
61,328,GDPR,knowledge,0.54,0.05
61,395,Risk Management,knowledge,0.54,0.05
61,277,Bias Mitigation,knowledge,0.48,0.05
54,25,Python,Language,0.54,0.05
54,306,Deep Learning,knowledge,0.54,0.05
54,225,PyTorch,framework,0.54,0.05
54,329,Generative AI & LLMs,knowledge,0.54,0.05
19,390,REST APIs,knowledge,0.54,0.05
19,15,Java,Language,0.48,0.05
19,30,SQL,Language,0.48,0.05
19,242,Spring Boot,framework,0.48,0.05
89,433,WCAG 2.1/2.2,knowledge,0.54,0.05
89,13,HTML/CSS,Language,0.54,0.05
89,432,WAI-ARIA,knowledge,0.54,0.05
8,171,Angular,framework,0.54,0.05
8,35,TypeScript,Language,0.54,0.05
8,16,JavaScript,Language,0.54,0.05
8,13,HTML/CSS,Language,0.54,0.05
74,377,OWASP Top 10,knowledge,0.54,0.05
74,399,SAST/DAST/SCA,knowledge,0.54,0.05
74,25,Python,Language,0.48,0.05
55,30,SQL,Language,0.54,0.05
55,123,Power BI,software,0.54,0.05
55,318,ETL/ELT,knowledge,0.48,0.05
55,304,Data Warehousing,knowledge,0.48,0.05
2,30,SQL,Language,0.54,0.05
2,15,Java,Language,0.54,0.05
2,390,REST APIs,knowledge,0.48,0.05
2,242,Spring Boot,framework,0.48,0.05
56,286,Cloud Computing (AWS/Azure/GCP),knowledge,0.54,0.05
56,30,SQL,Language,0.54,0.05
56,175,Apache Spark,framework,0.54,0.05
56,25,Python,Language,0.54,0.05
56,301,Data Modeling,knowledge,0.54,0.05
97,270,Agile/Scrum,knowledge,0.54,0.05
97,30,SQL,Language,0.54,0.05
97,73,Excel,software,0.54,0.05
97,270,Agile/Scrum,knowledge,0.54,0.05
16,7,C++,Language,0.54,0.05
16,351,Linux,knowledge,0.48,0.05
16,376,OOP,knowledge,0.48,0.05
16,330,Git,software,0.48,0.05
70,338,ISO 27001,knowledge,0.54,0.05
70,395,Risk Management,knowledge,0.54,0.05
70,328,GDPR,knowledge,0.54,0.05
70,281,CISSP/CISM,knowledge,0.54,0.05
29,36,AWS,software,0.54,0.05
29,273,Azure,software,0.48,0.05
29,363,Microservices,knowledge,0.48,0.05
29,251,Terraform,software,0.48,0.05
30,280,CI/CD,knowledge,0.54,0.05
30,345,Infrastructure as Code,knowledge,0.54,0.05
30,36,AWS,software,0.54,0.05
30,25,Python,Language,0.48,0.05
