variant,raw_type,canonical_name,canonical_type
.NET Core / .NET 6-8,framework,.NET Core,framework
Spark,framework,Apache Spark,framework
STL / Boost,framework,STL/Boost,framework
NIST Cybersecurity Framework,framework,NIST CSF,framework
DBT,framework,dbt,framework
Agile,framework,Agile/Scrum,framework
dbt (Data Build Tool),framework,dbt,framework
Hugging Face / LangChain,framework,Hugging Face/LangChain,framework
"RTOS (FreeRTOS, Zephyr, VxWorks)",framework,RTOS,framework
Embedded Linux & Yocto Project,framework,Embedded Linux & Yocto,framework
Qt Framework,framework,Qt,framework
Scrum,framework,Agile/Scrum,framework
Hibernate / JPA,framework,Hibernate/JPA,framework
Angular / React,framework,React,framework
React / Vue.js,framework,React,framework
Pandas/NumPy,framework,Pandas,framework
Cucumber (BDD),framework,Cucumber,framework
"SOAR (XSOAR, Swimlane)",framework,SOAR,framework
Open Policy Agent (OPA),framework,Open Policy Agent,framework
Scikit-Learn,framework,Scikit-learn,framework
Microsoft Azure,software,Azure,software
OpenAPI / Swagger,software,OpenAPI/Swagger,software
"Screen Readers (NVDA, JAWS, VoiceOver)",software,Screen Readers,software
"Automated Testing Tools (Axe, Lighthouse)",software,Automated Testing Tools (A11y),software
Docker & Kubernetes,software,Docker/Kubernetes,software
Excel (Advanced/VBA),software,Excel,software
"SIEM Tools (Splunk, QRadar)",software,SIEM (Splunk/QRadar/Sentinel),software
EDR/XDR Solutions,software,EDR/XDR,software
Amazon Web Services (AWS),software,AWS,software
Kubernetes (K8s),software,Kubernetes,software
Google Cloud Platform (GCP),software,GCP,software
Microsoft Azure (Sentinel/Defender),software,Azure,software
SIEM & SOC Tools,software,SIEM (Splunk/QRadar/Sentinel),software
AWS Security Services,software,AWS,software
AWS (Amazon Web Services),software,AWS,software
HSM (Hardware Security Modules),software,HSM,software
Microsoft Excel,software,Excel,software
PowerBI,software,Power BI,software
"MLOps (MLflow, DVC)",software,MLOps (MLflow/DVC),software
FTK (Forensic Toolkit),software,FTK,software
STM32Cube / HAL,software,STM32Cube,software
MATLAB / Simulink,software,MATLAB/Simulink,software
Logic Analyzers/Oscilloscopes,software,Oscilloscopes & Logic Analyzers,software
Microsoft Entra ID (Azure AD),software,Microsoft Entra ID,software
Maven / Gradle,software,Maven/Gradle,software
EDR/XDR Systems,software,EDR/XDR,software
Sandbox Environments (Cuckoo/Any.Run),software,Sandbox Environments,software
Jira/Confluence,software,Jira,software
Cisco (Catalyst/Nexus/Meraki),software,Cisco,software
Fortinet/Palo Alto Networks,software,Fortinet/Palo Alto,software
Tableau / Power BI,software,Power BI / Tableau,software
Hadoop / Hive,software,Hadoop,software
Excel/VBA,software,Excel,software
Postman/Insomnia,software,Postman,software
"SIEM (Splunk, QRadar, Sentinel)",software,SIEM (Splunk/QRadar/Sentinel),software
"EDR Solutions (CrowdStrike, SentinelOne)",software,EDR/XDR,software
Microsoft Azure / Entra ID,software,Azure,software
SIEM (Splunk / Microsoft Sentinel),software,SIEM (Splunk/QRadar/Sentinel),software
Kafka,software,Apache Kafka,software
NetApp (ONTAP),software,NetApp,software
Dell EMC (Unity/PowerStore),software,Dell EMC,software
Veeam Backup & Replication,software,Veeam,software
Brocade / Cisco SAN Switches,software,Brocade/Cisco SAN Switches,software
Windows Server (2016/2019/2022),software,Windows Server,software
VMware vSphere / ESXi,software,VMware vSphere,software
Microsoft 365 / Exchange Online,software,Microsoft 365,software
Linux (RHEL/Ubuntu/CentOS),software,Linux,software
Ansible & Terraform,software,Ansible/Terraform,software
Tableau / PowerBI,software,Power BI / Tableau,software
Tenable / Nessus,software,Tenable/Nessus,software
