id,skill,type
1,Azure,software
2,Git,software
3,Docker,software
4,SQL Server,software
5,Kubernetes,software
6,Microsoft Azure,software
7,OneTrust,software
8,Git,software
9,Docker,software
10,Jupyter,software
11,Docker,software
12,OpenAPI / Swagger,software
13,AWS,software
14,Kubernetes,software
15,"Screen Readers (NVDA, JAWS, VoiceOver)",software
16,"Automated Testing Tools (Axe, Lighthouse)",software
17,Figma,software
18,Git,software
19,Docker,software
20,Docker & Kubernetes,software
21,Snyk,software
22,Burp Suite,software
23,Power BI,software
24,Tableau,software
25,Snowflake,software
26,Qlik Sense,software
27,Docker,software
28,Git,software
29,PostgreSQL,software
30,Kubernetes,software
31,Microsoft Azure,software
32,AWS,software
33,Databricks,software
34,Docker/Kubernetes,software
35,GCP,software
36,Snowflake,software
37,Jira,software
38,Power BI,software
39,SAP,software
40,Salesforce,software
41,Excel (Advanced/VBA),software
42,Git,software
43,CMake,software
44,Docker,software
45,CI/CD (Jenkins/GitLab),software
46,"SIEM Tools (Splunk, QRadar)",software
47,GRC Software,software
48,EDR/XDR Solutions,software
49,AWS,software
50,Azure,software
51,Terraform,software
52,Kubernetes,software
53,Docker,software
54,GCP,software
55,Amazon Web Services (AWS),software
56,Microsoft Azure,software
57,Terraform,software
58,Kubernetes (K8s),software
59,Docker,software
60,Ansible,software
61,Google Cloud Platform (GCP),software
62,Azure,software
63,AWS,software
64,Terraform,software
65,Kubernetes,software
66,Docker,software
67,Ansible,software
68,Microsoft Azure (Sentinel/Defender),software
69,SIEM & SOC Tools,software
70,AWS Security Services,software
71,Terraform,software
72,Docker/Kubernetes,software
73,AWS (Amazon Web Services),software
74,Microsoft Azure,software
75,Terraform,software
76,Kubernetes,software
77,Docker,software
78,Google Cloud Platform (GCP),software
79,Docker,software
80,Git,software
81,NVIDIA TensorRT,software
82,HSM (Hardware Security Modules),software
83,HashiCorp Vault,software
84,Git,software
85,Wireshark,software
86,Splunk,software
87,Microsoft Sentinel,software
88,Wireshark,software
89,CrowdStrike,software
90,Excel,software
91,Power BI,software
92,Tableau,software
93,BigQuery,software
94,SAP,software
95,Microsoft Azure,software
96,Databricks,software
97,Amazon Web Services (AWS),software
98,Snowflake,software
99,Power BI / Tableau,software
100,ServiceNow,software
101,Jira,software
102,Zabbix/Nagios,software
103,Microsoft Azure,software
104,AWS,software
105,Apache Airflow,software
106,Databricks,software
107,Docker/Kubernetes,software
108,Snowflake,software
109,Microsoft Excel,software
110,OneTrust,software
111,Azure,software
112,PowerBI,software
113,AWS,software
114,Git,software
115,Excel,software
116,SAP MDG/ERP,software
117,Collibra,software
118,Informatica Axon,software
119,Power BI,software
120,Microsoft Purview,software
121,Power BI,software
122,Snowflake,software
123,Databricks,software
124,Tableau,software
125,Informatica/Talend,software
126,Oracle Database,software
127,Microsoft SQL Server,software
128,PostgreSQL,software
129,Ansible,software
130,MongoDB,software
131,Oracle Database,software
132,Microsoft SQL Server,software
133,PostgreSQL,software
134,Git,software
135,Docker,software
136,MongoDB,software
137,Docker & Kubernetes,software
138,"MLOps (MLflow, DVC)",software
139,Git,software
140,Figma,software
141,Git,software
142,Tokens Studio,software
143,Kubernetes,software
144,Docker,software
145,Terraform,software
146,Jenkins,software
147,Ansible,software
148,Git,software
149,GitLab CI,software
150,Prometheus/Grafana,software
151,EnCase,software
152,Magnet AXIOM,software
